Qadratic
Copyright © 2014
Yael Arturo Chavoya Andalón
----------------------
Función: x^2 - 8x + 16
x = -10   | y= 196
x = -9   | y= 169
x = -8   | y= 144
x = -7   | y= 121
x = -6   | y= 100
x = -5   | y= 81
x = -4   | y= 64
x = -3   | y= 49
x = -2   | y= 36
x = -1   | y= 25
x = 0   | y= 16
x = 1   | y= 9
x = 2   | y= 4
x = 3   | y= 1
x = 4   | y= 0
x = 5   | y= 1
x = 6   | y= 4
x = 7   | y= 9
x = 8   | y= 16
x = 9   | y= 25
x = 10   | y= 36
----------------------
Función: x^2 - 8x + 16
x = -100   | y= 10816
x = -99   | y= 10609
x = -98   | y= 10404
x = -97   | y= 10201
x = -96   | y= 10000
x = -95   | y= 9801
x = -94   | y= 9604
x = -93   | y= 9409
x = -92   | y= 9216
x = -91   | y= 9025
x = -90   | y= 8836
x = -89   | y= 8649
x = -88   | y= 8464
x = -87   | y= 8281
x = -86   | y= 8100
x = -85   | y= 7921
x = -84   | y= 7744
x = -83   | y= 7569
x = -82   | y= 7396
x = -81   | y= 7225
x = -80   | y= 7056
x = -79   | y= 6889
x = -78   | y= 6724
x = -77   | y= 6561
x = -76   | y= 6400
x = -75   | y= 6241
x = -74   | y= 6084
x = -73   | y= 5929
x = -72   | y= 5776
x = -71   | y= 5625
x = -70   | y= 5476
x = -69   | y= 5329
x = -68   | y= 5184
x = -67   | y= 5041
x = -66   | y= 4900
x = -65   | y= 4761
x = -64   | y= 4624
x = -63   | y= 4489
x = -62   | y= 4356
x = -61   | y= 4225
x = -60   | y= 4096
x = -59   | y= 3969
x = -58   | y= 3844
x = -57   | y= 3721
x = -56   | y= 3600
x = -55   | y= 3481
x = -54   | y= 3364
x = -53   | y= 3249
x = -52   | y= 3136
x = -51   | y= 3025
x = -50   | y= 2916
x = -49   | y= 2809
x = -48   | y= 2704
x = -47   | y= 2601
x = -46   | y= 2500
x = -45   | y= 2401
x = -44   | y= 2304
x = -43   | y= 2209
x = -42   | y= 2116
x = -41   | y= 2025
x = -40   | y= 1936
x = -39   | y= 1849
x = -38   | y= 1764
x = -37   | y= 1681
x = -36   | y= 1600
x = -35   | y= 1521
x = -34   | y= 1444
x = -33   | y= 1369
x = -32   | y= 1296
x = -31   | y= 1225
x = -30   | y= 1156
x = -29   | y= 1089
x = -28   | y= 1024
x = -27   | y= 961
x = -26   | y= 900
x = -25   | y= 841
x = -24   | y= 784
x = -23   | y= 729
x = -22   | y= 676
x = -21   | y= 625
x = -20   | y= 576
x = -19   | y= 529
x = -18   | y= 484
x = -17   | y= 441
x = -16   | y= 400
x = -15   | y= 361
x = -14   | y= 324
x = -13   | y= 289
x = -12   | y= 256
x = -11   | y= 225
x = -10   | y= 196
x = -9   | y= 169
x = -8   | y= 144
x = -7   | y= 121
x = -6   | y= 100
x = -5   | y= 81
x = -4   | y= 64
x = -3   | y= 49
x = -2   | y= 36
x = -1   | y= 25
x = 0   | y= 16
x = 1   | y= 9
x = 2   | y= 4
x = 3   | y= 1
x = 4   | y= 0
x = 5   | y= 1
x = 6   | y= 4
x = 7   | y= 9
x = 8   | y= 16
x = 9   | y= 25
x = 10   | y= 36
x = 11   | y= 49
x = 12   | y= 64
x = 13   | y= 81
x = 14   | y= 100
x = 15   | y= 121
x = 16   | y= 144
x = 17   | y= 169
x = 18   | y= 196
x = 19   | y= 225
x = 20   | y= 256
x = 21   | y= 289
x = 22   | y= 324
x = 23   | y= 361
x = 24   | y= 400
x = 25   | y= 441
x = 26   | y= 484
x = 27   | y= 529
x = 28   | y= 576
x = 29   | y= 625
x = 30   | y= 676
x = 31   | y= 729
x = 32   | y= 784
x = 33   | y= 841
x = 34   | y= 900
x = 35   | y= 961
x = 36   | y= 1024
x = 37   | y= 1089
x = 38   | y= 1156
x = 39   | y= 1225
x = 40   | y= 1296
x = 41   | y= 1369
x = 42   | y= 1444
x = 43   | y= 1521
x = 44   | y= 1600
x = 45   | y= 1681
x = 46   | y= 1764
x = 47   | y= 1849
x = 48   | y= 1936
x = 49   | y= 2025
x = 50   | y= 2116
x = 51   | y= 2209
x = 52   | y= 2304
x = 53   | y= 2401
x = 54   | y= 2500
x = 55   | y= 2601
x = 56   | y= 2704
x = 57   | y= 2809
x = 58   | y= 2916
x = 59   | y= 3025
x = 60   | y= 3136
x = 61   | y= 3249
x = 62   | y= 3364
x = 63   | y= 3481
x = 64   | y= 3600
x = 65   | y= 3721
x = 66   | y= 3844
x = 67   | y= 3969
x = 68   | y= 4096
x = 69   | y= 4225
x = 70   | y= 4356
x = 71   | y= 4489
x = 72   | y= 4624
x = 73   | y= 4761
x = 74   | y= 4900
x = 75   | y= 5041
x = 76   | y= 5184
x = 77   | y= 5329
x = 78   | y= 5476
x = 79   | y= 5625
x = 80   | y= 5776
x = 81   | y= 5929
x = 82   | y= 6084
x = 83   | y= 6241
x = 84   | y= 6400
x = 85   | y= 6561
x = 86   | y= 6724
x = 87   | y= 6889
x = 88   | y= 7056
x = 89   | y= 7225
x = 90   | y= 7396
x = 91   | y= 7569
x = 92   | y= 7744
x = 93   | y= 7921
x = 94   | y= 8100
x = 95   | y= 8281
x = 96   | y= 8464
x = 97   | y= 8649
x = 98   | y= 8836
x = 99   | y= 9025
x = 100   | y= 9216
